group_id,ship,n_segments,n_tows_merged,best_k,component,period_start,period_end,folder,year,topic_label,dominant_species,topic_idx
76,AA,209,3,3,component_2,2008-11-25,2008-11-28,group_0076_AA,2008,G76_component_2,Oithona similis,167
76,AA,209,3,3,component_3,2008-11-25,2008-11-28,group_0076_AA,2008,G76_component_3,Neocalanus tonsus,168
77,AA,470,9,2,component_1,2009-01-03,2009-01-11,group_0077_AA,2009,G77_component_1,Calanoida indet (small),169
77,AA,470,9,2,component_2,2009-01-03,2009-01-11,group_0077_AA,2009,G77_component_2,Calanus simillimus,170
78,AA,200,4,2,component_1,2009-02-15,2009-02-18,group_0078_AA,2009,G78_component_1,Calanoida indet (small),171
78,AA,200,4,2,component_2,2009-02-15,2009-02-18,group_0078_AA,2009,G78_component_2,Neocalanus tonsus,172
79,AA,175,3,2,component_1,2009-02-25,2009-03-01,group_0079_AA,2009,G79_component_1,Calanoida indet (small),173
79,AA,175,3,2,component_2,2009-02-25,2009-03-01,group_0079_AA,2009,G79_component_2,Oithona similis,174
80,AA,186,3,2,component_1,2009-03-03,2009-03-07,group_0080_AA,2009,G80_component_1,Oithona similis,175
80,AA,186,3,2,component_2,2009-03-03,2009-03-07,group_0080_AA,2009,G80_component_2,Calanoida indet (small),176
81,AA,293,4,2,component_1,2009-11-01,2009-11-07,group_0081_AA,2009,G81_component_1,Oithona similis,177
81,AA,293,4,2,component_2,2009-11-01,2009-11-07,group_0081_AA,2009,G81_component_2,Calanoida indet (small),178
82,AA,216,4,2,component_1,2009-12-09,2009-12-13,group_0082_AA,2009,G82_component_1,Foraminifera indet,179
82,AA,216,4,2,component_2,2009-12-09,2009-12-13,group_0082_AA,2009,G82_component_2,Oithona similis,180
83,AA,363,6,2,component_1,2010-01-26,2010-02-03,group_0083_AA,2010,G83_component_1,Calanoida indet (small),181
83,AA,363,6,2,component_2,2010-01-26,2010-02-03,group_0083_AA,2010,G83_component_2,Oithona similis,182
84,AA,487,6,2,component_1,2010-02-17,2010-02-26,group_0084_AA,2010,G84_component_1,Calanoida indet (small),183
84,AA,487,6,2,component_2,2010-02-17,2010-02-26,group_0084_AA,2010,G84_component_2,Oithona similis,184
85,AA,355,4,2,component_1,2010-03-22,2010-03-27,group_0085_AA,2010,G85_component_1,Oithona similis,185
85,AA,355,4,2,component_2,2010-03-22,2010-03-27,group_0085_AA,2010,G85_component_2,Calanoida indet (small),186
86,AA,339,4,2,component_1,2010-12-10,2010-12-16,group_0086_AA,2010,G86_component_1,Calanoida indet (small),187
86,AA,339,4,2,component_2,2010-12-10,2010-12-16,group_0086_AA,2010,G86_component_2,Oithona similis,188
87,AA,70,1,2,component_1,2011-02-01,2011-02-02,group_0087_AA,2011,G87_component_1,Oithona similis,189
87,AA,70,1,2,component_2,2011-02-01,2011-02-02,group_0087_AA,2011,G87_component_2,Calanoida indet (small),190
88,AA,63,1,3,component_1,2011-02-04,2011-02-05,group_0088_AA,2011,G88_component_1,Clausocalanus brevipes,191
88,AA,63,1,3,component_2,2011-02-04,2011-02-05,group_0088_AA,2011,G88_component_2,Neocalanus tonsus,192
88,AA,63,1,3,component_3,2011-02-04,2011-02-05,group_0088_AA,2011,G88_component_3,Oithona similis,193
89,AA,502,7,2,component_1,2011-02-08,2011-02-18,group_0089_AA,2011,G89_component_1,Calanoida indet (small),194
89,AA,502,7,2,component_2,2011-02-08,2011-02-18,group_0089_AA,2011,G89_component_2,Calanus simillimus,195
90,AA,464,6,2,component_1,2011-03-19,2011-03-28,group_0090_AA,2011,G90_component_1,Calanoida indet (small),196
90,AA,464,6,2,component_2,2011-03-19,2011-03-28,group_0090_AA,2011,G90_component_2,Limacina sp.,197
91,AA,253,3,2,component_1,2011-12-02,2011-12-07,group_0091_AA,2011,G91_component_1,Oithona similis,198
91,AA,253,3,2,component_2,2011-12-02,2011-12-07,group_0091_AA,2011,G91_component_2,Calanoida indet (small),199
92,AA,177,2,2,component_1,2012-01-06,2012-01-09,group_0092_AA,2012,G92_component_1,Calanoida indet (small),200
92,AA,177,2,2,component_2,2012-01-06,2012-01-09,group_0092_AA,2012,G92_component_2,Calanus simillimus,201
93,AA,302,4,2,component_1,2012-02-18,2012-02-23,group_0093_AA,2012,G93_component_1,Calanoida indet (small),202
93,AA,302,4,2,component_2,2012-02-18,2012-02-23,group_0093_AA,2012,G93_component_2,Calanus simillimus,203
94,AA,417,5,2,component_1,2012-03-17,2012-03-26,group_0094_AA,2012,G94_component_1,Calanoida indet (small),204
94,AA,417,5,2,component_2,2012-03-17,2012-03-26,group_0094_AA,2012,G94_component_2,Oithona similis,205
95,AA,259,3,2,component_1,2012-11-11,2012-11-15,group_0095_AA,2012,G95_component_1,Oithona similis,206
95,AA,259,3,2,component_2,2012-11-11,2012-11-15,group_0095_AA,2012,G95_component_2,Calanoida indet (small),207
96,AA,405,5,2,component_1,2012-11-19,2012-11-26,group_0096_AA,2012,G96_component_1,Oithona similis,208
96,AA,405,5,2,component_2,2012-11-19,2012-11-26,group_0096_AA,2012,G96_component_2,Calanoida indet (small),209
97,AA,251,4,3,component_1,2012-12-17,2012-12-23,group_0097_AA,2012,G97_component_1,Oithona similis,210
97,AA,251,4,3,component_2,2012-12-17,2012-12-23,group_0097_AA,2012,G97_component_2,Calanoida indet (small),211
97,AA,251,4,3,component_3,2012-12-17,2012-12-23,group_0097_AA,2012,G97_component_3,Neocalanus tonsus,212
98,AA,300,5,2,component_1,2013-01-02,2013-01-07,group_0098_AA,2013,G98_component_1,Oithona similis,213
98,AA,300,5,2,component_2,2013-01-02,2013-01-07,group_0098_AA,2013,G98_component_2,Calanoida indet (small),214
99,AA,368,5,2,component_1,2013-02-15,2013-02-21,group_0099_AA,2013,G99_component_1,Oithona similis,215
99,AA,368,5,2,component_2,2013-02-15,2013-02-21,group_0099_AA,2013,G99_component_2,Calanoida indet (small),216
100,AA,245,3,2,component_1,2013-12-15,2013-12-19,group_0100_AA,2013,G100_component_1,Oithona similis,217
100,AA,245,3,2,component_2,2013-12-15,2013-12-19,group_0100_AA,2013,G100_component_2,Calanoida indet (small),218
101,AA,270,4,2,component_1,2014-01-16,2014-01-20,group_0101_AA,2014,G101_component_1,Calanoida indet (small),219
101,AA,270,4,2,component_2,2014-01-16,2014-01-20,group_0101_AA,2014,G101_component_2,Oithona similis,220
102,AA,435,5,2,component_1,2014-02-20,2014-02-26,group_0102_AA,2014,G102_component_1,Oithona similis,221
102,AA,435,5,2,component_2,2014-02-20,2014-02-26,group_0102_AA,2014,G102_component_2,Calanus simillimus,222
103,AA,247,3,2,component_1,2014-12-07,2014-12-11,group_0103_AA,2014,G103_component_1,Calanoida indet (small),223
103,AA,247,3,2,component_2,2014-12-07,2014-12-11,group_0103_AA,2014,G103_component_2,Oithona similis,224
104,AA,387,5,2,component_1,2015-01-30,2015-02-05,group_0104_AA,2015,G104_component_1,Calanoida indet (small),225
104,AA,387,5,2,component_2,2015-01-30,2015-02-05,group_0104_AA,2015,G104_component_2,Limacina sp.,226
105,AA,197,4,2,component_1,2015-11-01,2015-11-04,group_0105_AA,2015,G105_component_1,Calanoida indet (small),227
105,AA,197,4,2,component_2,2015-11-01,2015-11-04,group_0105_AA,2015,G105_component_2,Oithona similis,228
106,AA,266,3,2,component_1,2015-12-11,2015-12-16,group_0106_AA,2015,G106_component_1,Calanoida indet (small),229
106,AA,266,3,2,component_2,2015-12-11,2015-12-16,group_0106_AA,2015,G106_component_2,Oithona similis,230
107,AA,274,3,2,component_1,2016-01-01,2016-01-05,group_0107_AA,2016,G107_component_1,Calanoida indet (small),231
107,AA,274,3,2,component_2,2016-01-01,2016-01-05,group_0107_AA,2016,G107_component_2,Calanoida indet (small),232
108,AA,334,4,2,component_1,2016-01-13,2016-01-20,group_0108_AA,2016,G108_component_1,Calanoida indet (small),233
108,AA,334,4,2,component_2,2016-01-13,2016-01-20,group_0108_AA,2016,G108_component_2,Oithona similis,234
109,AA,107,2,2,component_1,2016-11-01,2016-11-03,group_0109_AA,2016,G109_component_1,Calanoida indet (small),235
109,AA,107,2,2,component_2,2016-11-01,2016-11-03,group_0109_AA,2016,G109_component_2,Oithona similis,236
110,AA,249,4,2,component_1,2016-12-09,2016-12-14,group_0110_AA,2016,G110_component_1,Oithona similis,237
110,AA,249,4,2,component_2,2016-12-09,2016-12-14,group_0110_AA,2016,G110_component_2,Calanoida indet (small),238
111,AA,89,1,2,component_1,2017-01-16,2017-01-18,group_0111_AA,2017,G111_component_1,Calanoida indet (small),239
111,AA,89,1,2,component_2,2017-01-16,2017-01-18,group_0111_AA,2017,G111_component_2,Oithona similis,240
112,AA,368,5,2,component_1,2017-01-26,2017-02-03,group_0112_AA,2017,G112_component_1,Oithona similis,241
112,AA,368,5,2,component_2,2017-01-26,2017-02-03,group_0112_AA,2017,G112_component_2,Calanoida indet (small),242
113,AA,9,1,2,component_1,2017-02-04,2017-02-04,group_0113_AA,2017,G113_component_1,Oithona similis,243
113,AA,9,1,2,component_2,2017-02-04,2017-02-04,group_0113_AA,2017,G113_component_2,Calanoida indet (small),244
114,AA,315,4,2,component_1,2017-11-02,2017-11-09,group_0114_AA,2017,G114_component_1,Calanoida indet (small),245
114,AA,315,4,2,component_2,2017-11-02,2017-11-09,group_0114_AA,2017,G114_component_2,Fritillaria sp.,246
115,AA,303,5,2,component_1,2017-12-13,2017-12-19,group_0115_AA,2017,G115_component_1,Calanoida indet (small),247
115,AA,303,5,2,component_2,2017-12-13,2017-12-19,group_0115_AA,2017,G115_component_2,Oithona similis,248
116,AA,67,1,2,component_1,2018-01-09,2018-01-10,group_0116_AA,2018,G116_component_1,Oithona similis,249
116,AA,67,1,2,component_2,2018-01-09,2018-01-10,group_0116_AA,2018,G116_component_2,Calanoida indet (small),250
117,AA,250,3,2,component_1,2018-01-17,2018-01-22,group_0117_AA,2018,G117_component_1,Calanoida indet (small),251
117,AA,250,3,2,component_2,2018-01-17,2018-01-22,group_0117_AA,2018,G117_component_2,Neocalanus tonsus,252
118,AA,73,1,2,component_1,2018-03-09,2018-03-11,group_0118_AA,2018,G118_component_1,Clausocalanus brevipes,253
118,AA,73,1,2,component_2,2018-03-09,2018-03-11,group_0118_AA,2018,G118_component_2,Calanoida indet (small),254
119,AA,72,1,2,component_1,2018-03-22,2018-03-24,group_0119_AA,2018,G119_component_1,Calanoida indet (small),255
119,AA,72,1,2,component_2,2018-03-22,2018-03-24,group_0119_AA,2018,G119_component_2,Calanoida indet (small),256
120,AA,187,3,2,component_1,2018-12-07,2018-12-10,group_0120_AA,2018,G120_component_1,Oithona similis,257
120,AA,187,3,2,component_2,2018-12-07,2018-12-10,group_0120_AA,2018,G120_component_2,Calanoida indet (small),258
121,AA,225,3,2,component_1,2019-01-15,2019-01-18,group_0121_AA,2019,G121_component_1,Calanoida indet (small),259
121,AA,225,3,2,component_2,2019-01-15,2019-01-18,group_0121_AA,2019,G121_component_2,Calanus simillimus,260
122,AA,153,2,2,component_1,2019-11-01,2019-11-04,group_0122_AA,2019,G122_component_1,Calanoida indet (small),261
122,AA,153,2,2,component_2,2019-11-01,2019-11-04,group_0122_AA,2019,G122_component_2,Oithona similis,262
123,AA,24,1,2,component_1,2019-12-23,2019-12-23,group_0123_AA,2019,G123_component_1,Calanoida indet (small),263
123,AA,24,1,2,component_2,2019-12-23,2019-12-23,group_0123_AA,2019,G123_component_2,Clausocalanus brevipes,264
124,AA,21,1,2,component_1,2020-01-22,2020-01-22,group_0124_AA,2020,G124_component_1,Neocalanus tonsus,265
124,AA,21,1,2,component_2,2020-01-22,2020-01-22,group_0124_AA,2020,G124_component_2,Oithona similis,266
125,AF,176,2,2,component_1,2008-01-26,2008-01-29,group_0125_AF,2008,G125_component_1,Calanoida indet (small),267
125,AF,176,2,2,component_2,2008-01-26,2008-01-29,group_0125_AF,2008,G125_component_2,Oithona similis,268
126,AF,88,1,2,component_1,2008-02-17,2008-02-18,group_0126_AF,2008,G126_component_1,Euphausia superba,269
126,AF,88,1,2,component_2,2008-02-17,2008-02-18,group_0126_AF,2008,G126_component_2,Oithona similis,270
127,HM,20,1,2,component_1,2002-01-10,2002-01-10,group_0127_HM,2002,G127_component_1,Fritillaria sp.,271
127,HM,20,1,2,component_2,2002-01-10,2002-01-10,group_0127_HM,2002,G127_component_2,Oithona similis,272
128,HM,36,3,2,component_1,2002-01-13,2002-01-14,group_0128_HM,2002,G128_component_1,Oithona similis,273
128,HM,36,3,2,component_2,2002-01-13,2002-01-14,group_0128_HM,2002,G128_component_2,Fritillaria sp.,274
129,HM,11,1,2,component_1,2002-01-15,2002-01-15,group_0129_HM,2002,G129_component_1,Oithona similis,275
129,HM,11,1,2,component_2,2002-01-15,2002-01-15,group_0129_HM,2002,G129_component_2,Oithona similis,276
130,HM,96,2,2,component_1,2002-01-17,2002-01-19,group_0130_HM,2002,G130_component_1,Foraminifera indet,277
