Topic_Name,K,Perplexity,Coherence
K13_MC12,13,6.300564875181576,0.4086910290854586
K13_MC2,13,6.300564875181576,0.4086910290854586
K13_MC3,13,6.300564875181576,0.4086910290854586
K13_MC4,13,6.300564875181576,0.4086910290854586
K13_MC5,13,6.300564875181576,0.4086910290854586
K13_MC6,13,6.300564875181576,0.4086910290854586
K13_MC7,13,6.300564875181576,0.4086910290854586
K13_MC8,13,6.300564875181576,0.4086910290854586
K13_MC9,13,6.300564875181576,0.4086910290854586
K14_MC0,14,6.399937235172978,0.3805825830069463
K14_MC1,14,6.399937235172978,0.3805825830069463
K14_MC10,14,6.399937235172978,0.3805825830069463
K14_MC11,14,6.399937235172978,0.3805825830069463
K14_MC12,14,6.399937235172978,0.3805825830069463
K14_MC13,14,6.399937235172978,0.3805825830069463
K14_MC2,14,6.399937235172978,0.3805825830069463
K14_MC3,14,6.399937235172978,0.3805825830069463
K14_MC4,14,6.399937235172978,0.3805825830069463
K14_MC5,14,6.399937235172978,0.3805825830069463
K14_MC6,14,6.399937235172978,0.3805825830069463
K14_MC7,14,6.399937235172978,0.3805825830069463
K14_MC8,14,6.399937235172978,0.3805825830069463
K14_MC9,14,6.399937235172978,0.3805825830069463
K15_MC0,15,6.942821416881322,0.36707921300208957
K15_MC1,15,6.942821416881322,0.36707921300208957
K15_MC10,15,6.942821416881322,0.36707921300208957
K15_MC11,15,6.942821416881322,0.36707921300208957
K15_MC12,15,6.942821416881322,0.36707921300208957
K15_MC13,15,6.942821416881322,0.36707921300208957
K15_MC14,15,6.942821416881322,0.36707921300208957
K15_MC2,15,6.942821416881322,0.36707921300208957
K15_MC3,15,6.942821416881322,0.36707921300208957
K15_MC4,15,6.942821416881322,0.36707921300208957
K15_MC5,15,6.942821416881322,0.36707921300208957
K15_MC6,15,6.942821416881322,0.36707921300208957
K15_MC7,15,6.942821416881322,0.36707921300208957
K15_MC8,15,6.942821416881322,0.36707921300208957
K15_MC9,15,6.942821416881322,0.36707921300208957
K16_MC0,16,7.313596762670908,0.4225574225112084
K16_MC1,16,7.313596762670908,0.4225574225112084
K16_MC10,16,7.313596762670908,0.4225574225112084
K16_MC11,16,7.313596762670908,0.4225574225112084
K16_MC12,16,7.313596762670908,0.4225574225112084
K16_MC13,16,7.313596762670908,0.4225574225112084
K16_MC14,16,7.313596762670908,0.4225574225112084
K16_MC15,16,7.313596762670908,0.4225574225112084
K16_MC2,16,7.313596762670908,0.4225574225112084
K16_MC3,16,7.313596762670908,0.4225574225112084
K16_MC4,16,7.313596762670908,0.4225574225112084
K16_MC5,16,7.313596762670908,0.4225574225112084
K16_MC6,16,7.313596762670908,0.4225574225112084
K16_MC7,16,7.313596762670908,0.4225574225112084
K16_MC8,16,7.313596762670908,0.4225574225112084
K16_MC9,16,7.313596762670908,0.4225574225112084
K17_MC0,17,8.319808259909841,0.4315278980047057
K17_MC1,17,8.319808259909841,0.4315278980047057
K17_MC10,17,8.319808259909841,0.4315278980047057
K17_MC11,17,8.319808259909841,0.4315278980047057
K17_MC12,17,8.319808259909841,0.4315278980047057
K17_MC13,17,8.319808259909841,0.4315278980047057
K17_MC14,17,8.319808259909841,0.4315278980047057
K17_MC15,17,8.319808259909841,0.4315278980047057
K17_MC16,17,8.319808259909841,0.4315278980047057
K17_MC2,17,8.319808259909841,0.4315278980047057
K17_MC3,17,8.319808259909841,0.4315278980047057
K17_MC4,17,8.319808259909841,0.4315278980047057
K17_MC5,17,8.319808259909841,0.4315278980047057
K17_MC6,17,8.319808259909841,0.4315278980047057
