Segment_ID,component_1,component_2,component_3
SA_672.0_06-Dec-2012_23:58,0.6998078762760861,0.1251232006391996,0.1750689230847143
SA_672.0_07-Dec-2012_00:35,0.5553743545783321,0.2467916496138351,0.1978339958078329
SA_672.0_07-Dec-2012_01:10,0.7283211510254518,0.0473842872634102,0.2242945617111379
SA_672.0_07-Dec-2012_02:21,0.8312325877115097,0.13418822598953534,0.03457918629895504
SA_672.0_07-Dec-2012_02:57,0.7043457247410541,0.21431924791007814,0.08133502734886787
SA_672.0_07-Dec-2012_03:33,0.7409466925188195,0.25905330748118055,0.0
SA_672.0_07-Dec-2012_04:09,0.5552360933490265,0.41808009921229755,0.026683807438675856
SA_672.0_07-Dec-2012_04:44,0.6932464653432185,0.3067535346567815,0.0
SA_672.0_07-Dec-2012_05:20,0.7081602199313777,0.29183978006862227,0.0
SA_672.0_07-Dec-2012_05:55,0.4924634154093345,0.22389485137214019,0.28364173321852537
SA_672.0_07-Dec-2012_06:30,0.6777868688650129,0.21498334460111815,0.10722978653386894
SA_672.0_07-Dec-2012_07:04,0.5897992691317271,0.2871751413993346,0.12302558946893823
SA_672.0_07-Dec-2012_07:38,0.579923375761795,0.2404963025138676,0.17958032172433744
SA_672.0_07-Dec-2012_08:15,0.9256795711451777,0.0057426831670397485,0.06857774568778248
SA_672.0_07-Dec-2012_08:56,0.21941143485665,0.02945279828102711,0.7511357668623229
SA_672.0_07-Dec-2012_09:40,0.3895577817128159,0.0,0.6104422182871841
SA_673.0_07-Dec-2012_10:19,0.13245571789573207,0.5881231761395013,0.2794211059647666
SA_673.0_07-Dec-2012_10:56,0.03788422614535795,0.34825988316650347,0.6138558906881385
SA_673.0_07-Dec-2012_11:33,0.0,0.20205252982465466,0.7979474701753454
SA_673.0_07-Dec-2012_12:10,0.0018317472176408185,0.21325407610485858,0.7849141766775005
SA_673.0_07-Dec-2012_12:46,0.0,0.13205661673274452,0.8679433832672555
SA_673.0_07-Dec-2012_13:21,0.054340899673433876,0.22252217743935918,0.723136922887207
SA_673.0_07-Dec-2012_13:57,0.015454113355713549,0.24939382655774553,0.735152060086541
SA_673.0_07-Dec-2012_14:32,0.0,0.18869564078928439,0.8113043592107155
SA_673.0_07-Dec-2012_15:06,0.18116202223247327,0.6082747859222755,0.21056319184525116
SA_673.0_07-Dec-2012_15:41,0.18152359723327607,0.7932418063029781,0.025234596463745783
SA_673.0_07-Dec-2012_16:15,0.20795306169935673,0.7608842721870499,0.031162666113593484
SA_673.0_07-Dec-2012_16:50,0.40290348583802316,0.597096514161977,0.0
