Segment_ID,K3_MC0,K3_MC1,K3_MC2
AA_7.0_11-Mar-1991_21:54,0.9273839,0.054053705,0.018562391
AA_7.0_11-Mar-1991_22:17,0.91888577,0.032063242,0.049050972
AA_7.0_11-Mar-1991_22:40,0.6149001,0.20526682,0.17983305
AA_7.0_11-Mar-1991_23:04,0.9350319,0.023012673,0.041955475
AA_7.0_11-Mar-1991_23:27,0.87919915,0.042108357,0.07869252
AA_7.0_11-Mar-1991_23:50,0.8561675,0.04692933,0.096903235
AA_7.0_12-Mar-1991_00:13,0.863653,0.04680875,0.089538164
AA_7.0_12-Mar-1991_00:43,0.9660598,0.030968342,0.002971881
AA_8.0_12-Mar-1991_01:49,0.7732586,0.07909712,0.14764424
AA_8.0_12-Mar-1991_02:10,0.7392009,0.09215925,0.16863987
AA_8.0_12-Mar-1991_02:32,0.7367957,0.09215347,0.17105082
AA_8.0_12-Mar-1991_02:54,0.67621875,0.11257402,0.21120729
AA_8.0_12-Mar-1991_03:16,0.7683731,0.080150746,0.15147617
AA_8.0_12-Mar-1991_03:38,0.40059263,0.09935743,0.50005
AA_8.0_12-Mar-1991_04:00,0.47856173,0.1853848,0.33605352
AA_8.0_12-Mar-1991_04:22,0.47246322,0.13122235,0.39631444
AA_8.0_12-Mar-1991_04:44,0.15569451,0.19393145,0.65037405
AA_8.0_12-Mar-1991_05:05,0.41815588,0.1984076,0.38343647
AA_8.0_12-Mar-1991_05:38,0.6869863,0.11022434,0.20278937
AA_8.0_12-Mar-1991_06:02,0.13974807,0.18536891,0.674883
AA_8.0_12-Mar-1991_06:24,0.68569547,0.17355365,0.14075091
AA_8.0_12-Mar-1991_06:47,0.31903067,0.25098598,0.42998335
AA_8.0_12-Mar-1991_07:10,0.2122215,0.28832948,0.49944904
AA_8.0_12-Mar-1991_07:32,0.2122215,0.28832948,0.49944904
AA_8.0_12-Mar-1991_07:55,0.57380754,0.14578803,0.28040445
AA_8.0_12-Mar-1991_08:18,0.57369196,0.1457974,0.28051057
AA_8.0_12-Mar-1991_08:40,0.6762207,0.112573884,0.21120538
AA_8.0_12-Mar-1991_09:02,0.6762122,0.11257429,0.21121351
AA_8.0_12-Mar-1991_09:24,0.59783846,0.14067708,0.26148447
AA_8.0_12-Mar-1991_09:46,0.5737081,0.1457963,0.28049558
AA_8.0_12-Mar-1991_10:09,0.8380721,0.055881754,0.10604613
AA_8.0_12-Mar-1991_10:31,0.768381,0.08015057,0.15146837
AA_8.0_12-Mar-1991_10:53,0.81701225,0.062788814,0.12019902
AA_8.0_12-Mar-1991_11:16,0.87631893,0.042514395,0.08116662
AA_8.0_12-Mar-1991_11:39,0.9198122,0.027673876,0.052513853
AA_8.0_12-Mar-1991_12:01,0.86942786,0.045572855,0.08499928
AA_8.0_12-Mar-1991_12:23,0.7692347,0.14783134,0.082934044
AA_8.0_12-Mar-1991_12:46,0.93086046,0.03193951,0.03720006
AA_8.0_12-Mar-1991_13:09,0.9021329,0.07723132,0.02063574
AA_8.0_12-Mar-1991_13:32,0.35485777,0.6240604,0.021081757
AA_8.0_12-Mar-1991_13:54,0.53884107,0.42646602,0.034692924
AA_8.0_12-Mar-1991_14:17,0.4949097,0.4216205,0.08346979
AA_8.0_12-Mar-1991_14:40,0.64326894,0.3235938,0.03313726
AA_8.0_12-Mar-1991_15:03,0.57508653,0.37253094,0.05238251
AA_8.0_12-Mar-1991_15:26,0.8609357,0.10100357,0.03806077
AA_8.0_12-Mar-1991_15:49,0.8224501,0.14925179,0.028298138
AA_8.0_12-Mar-1991_16:11,0.92420304,0.04780487,0.027992107
AA_8.0_12-Mar-1991_16:33,0.8104182,0.1673947,0.02218713
