id,topic_label,group_id,ship,best_k,component,dominant_species,n_segments,period_start,period_end,top3_detail,umap_x,umap_y
80,G34_component_1,34,AA,2,component_1,Calanoida indet (small),366,2002-01-28,2002-02-05,"Calanoida indet (small) (0.73), Oithona similis (0.21), Clausocalanus laticeps (0.01)",13.640626907348633,8.443281173706055
81,G34_component_2,34,AA,2,component_2,Calanus simillimus,366,2002-01-28,2002-02-05,"Calanus simillimus (0.71), Calanoida indet (small) (0.26), Hyperiidea indet (0.01)",13.205038070678711,-0.18906432390213013
82,G35_component_1,35,AA,2,component_1,Calanoida indet (small),323,2002-02-27,2002-03-06,"Calanoida indet (small) (0.71), Oithona similis (0.23), Oikopleura sp. (0.01)",13.89257526397705,8.364609718322754
83,G35_component_2,35,AA,2,component_2,Calanus simillimus,323,2002-02-27,2002-03-06,"Calanus simillimus (0.73), Calanoida indet (small) (0.11), Limacina sp. (0.05)",15.078597068786621,-0.012476153671741486
84,G36_component_1,36,AA,2,component_1,Foraminifera indet,6,2002-11-10,2002-11-10,"Foraminifera indet (0.85), Oithona similis (0.11), Calanoida indet (small) (0.02)",-6.815935134887695,5.835199356079102
85,G36_component_2,36,AA,2,component_2,Oithona similis,6,2002-11-10,2002-11-10,"Oithona similis (0.61), Oikopleura sp. (0.20), Calanoida indet (small) (0.11)",0.8072901368141174,0.9590360522270203
86,G37_component_1,37,AA,2,component_1,Oithona similis,99,2002-11-12,2002-11-14,"Oithona similis (0.73), Calanoida indet (small) (0.08), Fritillaria sp. (0.06)",-2.4278857707977295,4.699018955230713
87,G37_component_2,37,AA,2,component_2,Calanoida indet (small),99,2002-11-12,2002-11-14,"Calanoida indet (small) (0.36), Neocalanus tonsus (0.33), Oithona similis (0.06)",10.785394668579102,15.303443908691406
88,G38_component_1,38,AA,2,component_1,Oithona similis,363,2002-11-24,2002-12-02,"Oithona similis (0.49), Ctenocalanus citer (0.42), Rhincalanus gigas nauplius (0.02)",-2.0733230113983154,4.028166770935059
89,G38_component_2,38,AA,2,component_2,Calanoida indet (small),363,2002-11-24,2002-12-02,"Calanoida indet (small) (0.52), Oithona similis (0.34), Copepoda nauplius indet (0.09)",8.112028121948242,15.07504653930664
90,G39_component_1,39,AA,3,component_1,Oithona similis,453,2002-12-17,2002-12-23,"Oithona similis (0.88), Copepoda nauplius indet (0.05), Calanoida indet (small) (0.03)",-1.270802617073059,8.02647876739502
91,G39_component_2,39,AA,3,component_2,Ctenocalanus citer,453,2002-12-17,2002-12-23,"Ctenocalanus citer (0.61), Oithona similis (0.29), Clausocalanus laticeps (0.05)",-1.2379672527313232,3.7719264030456543
92,G39_component_3,39,AA,3,component_3,Calanoida indet (small),453,2002-12-17,2002-12-23,"Calanoida indet (small) (0.38), Limacina sp. (0.25), Calanus simillimus (0.11)",10.94032096862793,6.431149482727051
93,G40_component_1,40,AA,2,component_1,Oithona similis,411,2003-01-05,2003-01-13,"Oithona similis (0.56), Ctenocalanus citer (0.24), Limacina sp. (0.10)",-2.2773678302764893,4.086203575134277
94,G40_component_2,40,AA,2,component_2,Calanoida indet (small),411,2003-01-05,2003-01-13,"Calanoida indet (small) (0.48), Calanus simillimus (0.22), Oithona similis (0.13)",11.413541793823242,0.6653359532356262
95,G41_component_1,41,AA,2,component_1,Oithona similis,128,2003-03-06,2003-03-08,"Oithona similis (0.68), Ctenocalanus citer (0.24), Calanoides acutus (0.02)",-2.341097831726074,4.334690570831299
96,G41_component_2,41,AA,2,component_2,Ctenocalanus citer,128,2003-03-06,2003-03-08,"Ctenocalanus citer (0.63), Limacina sp. (0.15), Fritillaria sp. (0.12)",-0.9706924557685852,3.672914743423462
97,G42_component_1,42,AA,2,component_1,Ctenocalanus citer,301,2003-03-09,2003-03-14,"Ctenocalanus citer (0.66), Oithona similis (0.20), Neocalanus tonsus (0.04)",-1.1143089532852173,3.74967098236084
98,G42_component_2,42,AA,2,component_2,Limacina sp.,301,2003-03-09,2003-03-14,"Limacina sp. (0.52), Calanus simillimus (0.26), Oithona similis (0.07)",-2.548734664916992,2.6178808212280273
99,G43_component_1,43,AA,2,component_1,Oithona similis,289,2003-11-06,2003-11-12,"Oithona similis (0.66), Calanoida indet (small) (0.13), Rhincalanus gigas nauplius (0.06)",1.1941546201705933,8.260141372680664
100,G43_component_2,43,AA,2,component_2,Calanoida indet (small),289,2003-11-06,2003-11-12,"Calanoida indet (small) (0.31), Foraminifera indet (0.28), Fritillaria sp. (0.14)",-8.030805587768555,5.722766876220703
101,G44_component_1,44,AA,2,component_1,Oithona similis,210,2003-11-26,2003-11-29,"Oithona similis (0.60), Calanoida indet (small) (0.14), Copepoda nauplius indet (0.09)",1.32045578956604,8.20309066772461
102,G44_component_2,44,AA,2,component_2,Limacina sp.,210,2003-11-26,2003-11-29,"Limacina sp. (0.37), Calanoida indet (small) (0.26), Rhincalanus gigas nauplius (0.10)",-2.7343668937683105,1.380065679550171
103,G45_component_1,45,AA,2,component_1,Calanoida indet (small),127,2003-12-14,2003-12-17,"Calanoida indet (small) (0.37), Oithona similis (0.25), Foraminifera indet (0.07)",4.180294036865234,16.09955406188965
104,G45_component_2,45,AA,2,component_2,Limacina sp.,127,2003-12-14,2003-12-17,"Limacina sp. (0.42), Calanoida indet (small) (0.26), Calanus simillimus (0.07)",-2.70649790763855,1.460908055305481
105,G46_component_1,46,AA,2,component_1,Calanoida indet (small),105,2004-01-28,2004-01-30,"Calanoida indet (small) (0.43), Oithona similis (0.43), Rhincalanus gigas nauplius (0.05)",4.35214900970459,16.27733039855957
106,G46_component_2,46,AA,2,component_2,Oithona similis,105,2004-01-28,2004-01-30,"Oithona similis (0.39), Calanoides acutus (0.24), Calanoida indet (small) (0.14)",1.2939618825912476,13.844184875488281
107,G47_component_1,47,AA,3,component_1,Calanoida indet (small),445,2004-02-04,2004-02-11,"Calanoida indet (small) (0.72), Oithona similis (0.18), Calanoides acutus (0.03)",13.636947631835938,8.489288330078125
108,G47_component_2,47,AA,3,component_2,Calanus simillimus,445,2004-02-04,2004-02-11,"Calanus simillimus (0.33), Limacina sp. (0.32), Calanoida indet (small) (0.17)",14.66899585723877,-0.05379423871636391
109,G47_component_3,47,AA,3,component_3,Oithona similis,445,2004-02-04,2004-02-11,"Oithona similis (0.74), Calanus simillimus (0.08), Calanoides acutus (0.06)",1.449002742767334,1.2200528383255005
110,G48_component_1,48,AA,2,component_1,Oithona similis,266,2004-02-20,2004-02-25,"Oithona similis (0.50), Oikopleura sp. (0.33), Copepoda nauplius indet (0.12)",0.6896079182624817,0.8796003460884094
111,G48_component_2,48,AA,2,component_2,Calanoida indet (small),266,2004-02-20,2004-02-25,"Calanoida indet (small) (0.61), Oithona similis (0.16), Ctenocalanus citer (0.07)",14.36246395111084,7.805981159210205
112,G49_component_1,49,AA,2,component_1,Oithona similis,133,2004-02-28,2004-03-01,"Oithona similis (0.63), Oikopleura sp. (0.17), Copepoda nauplius indet (0.11)",0.959747314453125,1.056465983390808
113,G49_component_2,49,AA,2,component_2,Calanoida indet (small),133,2004-02-28,2004-03-01,"Calanoida indet (small) (0.60), Oithona similis (0.14), Ctenocalanus citer (0.11)",14.378992080688477,7.851993083953857
114,G50_component_1,50,AA,2,component_1,Calanus simillimus,33,2004-03-03,2004-03-03,"Calanus simillimus (0.63), Limacina sp. (0.06), Ctenocalanus citer (0.05)",15.336843490600586,-0.18733781576156616
115,G50_component_2,50,AA,2,component_2,Calanoida indet (small),33,2004-03-03,2004-03-03,"Calanoida indet (small) (0.49), Oithona similis (0.26), Ctenocalanus citer (0.08)",10.125070571899414,13.585226058959961
116,G51_component_1,51,AA,2,component_1,Oithona similis,170,2004-11-07,2004-11-10,"Oithona similis (0.35), Foraminifera indet (0.32), Fritillaria sp. (0.25)",4.689001560211182,-2.0280189514160156
117,G51_component_2,51,AA,2,component_2,Calanoida indet (small),170,2004-11-07,2004-11-10,"Calanoida indet (small) (0.52), Oithona similis (0.29), Foraminifera indet (0.04)",10.245306015014648,13.503924369812012
118,G52_component_1,52,AA,2,component_1,Calanoida indet (small),236,2004-12-11,2004-12-14,"Calanoida indet (small) (0.36), Oithona similis (0.32), Foraminifera indet (0.08)",4.257254600524902,16.175701141357422
119,G52_component_2,52,AA,2,component_2,Copepoda nauplius indet,236,2004-12-11,2004-12-14,"Copepoda nauplius indet (0.63), Foraminifera indet (0.18), Oithona similis (0.12)",2.431316614151001,-2.2480239868164062
120,G53_component_1,53,AA,2,component_1,Calanoida indet (small),173,2005-02-23,2005-02-26,"Calanoida indet (small) (0.44), Calanus simillimus (0.30), Oithona similis (0.12)",11.559306144714355,0.42420971393585205
121,G53_component_2,53,AA,2,component_2,Foraminifera indet,173,2005-02-23,2005-02-26,"Foraminifera indet (0.71), Oithona similis (0.12), Thysanoessa macrura (0.06)",-6.806910514831543,5.810455799102783
122,G54_component_1,54,AA,2,component_1,Calanoida indet (small),70,2005-02-28,2005-03-01,"Calanoida indet (small) (0.64), Oithona similis (0.16), Calanus simillimus (0.11)",14.151044845581055,7.045604228973389
123,G54_component_2,54,AA,2,component_2,Oithona similis,70,2005-02-28,2005-03-01,"Oithona similis (0.75), Foraminifera indet (0.14), Calanoides acutus (0.04)",-2.992828369140625,4.942492485046387
124,G55_component_1,55,AA,2,component_1,Calanoida indet (small),84,2005-03-19,2005-03-20,"Calanoida indet (small) (0.82), Oithona similis (0.06), Rhincalanus gigas nauplius (0.04)",11.276978492736816,8.086191177368164
125,G55_component_2,55,AA,2,component_2,Oithona similis,84,2005-03-19,2005-03-20,"Oithona similis (0.58), Foraminifera indet (0.15), Calanus simillimus (0.11)",1.2397212982177734,1.1376782655715942
126,G56_component_1,56,AA,2,component_1,Calanoida indet (small),89,2005-03-22,2005-03-23,"Calanoida indet (small) (0.44), Oithona similis (0.26), Foraminifera indet (0.18)",15.172571182250977,10.671364784240723
127,G56_component_2,56,AA,2,component_2,Calanus simillimus,89,2005-03-22,2005-03-23,"Calanus simillimus (0.66), Calanoida indet (small) (0.11), Foraminifera indet (0.05)",15.329996109008789,0.23748286068439484
128,G57_component_1,57,AA,2,component_1,Oithona similis,318,2005-11-17,2005-11-21,"Oithona similis (0.43), Calanoida indet (small) (0.30), Rhincalanus gigas nauplius (0.11)",1.3675860166549683,13.93767261505127
129,G57_component_2,57,AA,2,component_2,Foraminifera indet,318,2005-11-17,2005-11-21,"Foraminifera indet (0.60), Oithona similis (0.26), Calanoida indet (small) (0.08)",-6.151251316070557,5.375577449798584
130,G58_component_1,58,AA,2,component_1,Oithona similis,81,2005-12-04,2005-12-05,"Oithona similis (0.84), Copepoda nauplius indet (0.04), Calanoida indet (small) (0.04)",-1.0466761589050293,7.6010003089904785
131,G58_component_2,58,AA,2,component_2,Neocalanus tonsus,81,2005-12-04,2005-12-05,"Neocalanus tonsus (0.56), Calanoida indet (small) (0.14), Metridia lucens (0.05)",10.967094421386719,15.640410423278809
