source,target,weight
70,22,0.07772485166788101
71,85,0.0264078751206398
72,179,0.005542383529245853
73,220,0.03753005340695381
74,80,0.0021420035045593977
75,303,0.004168938845396042
76,46,0.004768058657646179
77,282,0.037860121577978134
77,540,0.04440375417470932
80,82,0.0010321205481886864
81,195,0.002320969942957163
83,203,0.004848461598157883
84,535,0.0019045488443225622
85,431,0.012646924704313278
85,30,0.030312782153487206
86,596,0.005684658419340849
87,209,0.07191280275583267
88,421,0.017073536291718483
88,93,0.05736805126070976
89,158,0.012527676299214363
90,437,0.0004262299044057727
91,97,0.014486631378531456
92,239,0.07641231268644333
93,95,0.017367254942655563
94,536,0.009882516227662563
94,570,0.019791118800640106
95,86,0.04125132039189339
96,97,0.08065798133611679
98,226,0.014127001166343689
99,101,0.004935343284159899
99,155,0.005285431165248156
100,342,0.04446699470281601
102,138,0.03444640338420868
103,118,0.022734113037586212
104,138,0.03605876490473747
105,202,0.0049039446748793125
106,215,0.12403278797864914
107,80,0.001379016088321805
108,382,0.0921294093132019
109,147,0.006887002382427454
109,21,0.008147546090185642
110,71,0.0309162437915802
111,146,0.00940302200615406
112,30,0.031374696642160416
113,111,0.010578423738479614
114,203,0.010180782526731491
115,151,0.0073383948765695095
116,506,0.060896262526512146
116,454,0.0903472974896431
117,43,0.007344620302319527
118,105,0.01710060052573681
119,383,0.03134617209434509
120,94,0.017630890011787415
121,84,0.00514174485579133
122,183,0.003867275081574917
123,443,0.00915028527379036
124,39,0.004793562460690737
125,157,0.016295844689011574
126,540,0.007188250310719013
126,447,0.012293161824345589
127,83,0.006609099451452494
128,144,0.019262243062257767
129,370,0.01387806050479412
129,141,0.021503891795873642
129,18,0.05392272025346756
130,437,0.00045421940740197897
130,132,0.0015678817871958017
131,252,0.01924722269177437
132,44,0.0007756887353025377
134,44,0.0015374589711427689
135,176,0.009609327651560307
136,144,0.007690902333706617
137,280,0.0317876823246479
139,283,0.04519090801477432
140,608,0.005135727114975452
141,142,0.019164541736245155
142,84,0.004773962311446667
143,291,0.01150695513933897
144,79,0.005599793512374163
145,133,0.004920706618577242
146,183,0.0038509508594870567
146,82,0.005658257286995649
148,131,0.7523515224456787
149,138,0.08257836848497391
150,195,0.00419009942561388
150,539,0.01208587922155857
151,117,0.008206062018871307
152,285,0.026232248172163963
153,185,0.08186303079128265
154,267,0.006527804769575596
155,480,0.000921472383197397
156,199,0.004194591194391251
156,176,0.004258894361555576
157,147,0.008250737562775612
158,515,0.002464286284521222
159,150,0.004456124268472195
160,287,0.005716125015169382
160,202,0.006083211395889521
161,550,0.015830280259251595
162,171,0.0259281937032938
163,147,0.021869221702218056
164,178,0.004656819626688957
164,156,0.004900167230516672
165,185,0.025485744699835777
165,163,0.03361593186855316
166,156,0.004791437182575464
167,485,0.09484081715345383
168,265,8.987572800833732e-05
169,202,0.0010955239413306117
169,541,0.004999786615371704
170,280,0.00599488103762269
171,196,0.010998950339853764
172,600,0.026443693786859512
173,570,0.022805608808994293
174,292,0.02856605499982834
175,240,0.002836385043337941
177,198,0.0012464465107768774
179,84,0.004037464037537575
180,15,0.007744896225631237
181,301,0.004477272741496563
182,198,0.0017250768141821027
184,182,0.00422839866951108
186,487,0.0539216548204422
186,256,0.09336604923009872
187,214,0.02738521434366703
188,482,0.014562924392521381
189,36,0.003920620307326317
190,478,0.013176340609788895
191,186,0.14817364513874054
192,600,0.0013496517203748226
194,530,0.007005736697465181
196,251,0.007203172892332077
196,140,0.010864375159144402
197,375,0.05356428772211075
200,202,0.0029671108350157738
201,81,0.009525248780846596
203,527,0.0011916249059140682
204,211,0.02366168424487114
205,65,0.003306150669232011
205,241,0.003988387994468212
205,407,0.00486439885571599
206,361,0.044646985828876495
206,389,0.045961033552885056
207,209,0.016032880172133446
207,528,0.02481893077492714
208,224,0.011133956722915173
210,321,0.011317403055727482
211,183,0.017078949138522148
212,448,0.07544853538274765
213,217,0.0017414707690477371
213,31,0.0025876385625451803
214,32,0.03776818886399269
215,144,0.03892991319298744
216,22,0.010240810923278332
218,187,0.030775612220168114
219,229,0.0092105558142066
220,248,0.00773257203400135
221,287,0.005057141184806824
222,539,0.014132331125438213
223,279,0.01313988771289587
224,210,0.014026189222931862
225,531,0.00482095405459404
226,409,0.10817732661962509
227,229,0.0030797941144555807
228,230,0.007467121351510286
229,247,0.002747239312157035
229,225,0.005006749648600817
230,237,0.007728228811174631
231,249,0.006719314958900213
231,200,0.00894109532237053
232,256,0.027381494641304016
232,219,0.05783791095018387
233,235,0.005218547768890858
234,205,0.03299810364842415
235,247,0.003561995690688491
236,228,0.01279646996408701
237,240,0.007646178361028433
238,314,0.014102322049438953
239,242,0.02594289742410183
240,241,0.004050707444548607
242,314,0.02329155057668686
243,241,0.016641099005937576
244,117,0.01448072586208582
245,515,0.008968725800514221
246,304,0.045780450105667114
246,312,0.056641384959220886
248,230,0.015384383499622345
250,286,0.038802169263362885
252,192,0.0062354556284844875
253,256,0.04883969947695732
254,169,0.017600515857338905
255,250,0.04493892192840576
255,258,0.04965014383196831
257,224,0.014561302959918976
258,225,0.015181864611804485
259,245,0.010052291676402092
260,201,0.012324678711593151
261,523,0.007570336107164621
261,279,0.007791606709361076
262,177,0.005881205666810274
263,209,0.06483392417430878
264,253,0.12134767323732376
266,160,0.02996719442307949
267,124,0.007214569952338934
269,399,8.89222210389562e-05
270,56,0.013133850879967213
271,365,0.02187720686197281
271,320,0.06789463758468628
272,193,0.03687542304396629
273,241,0.017085053026676178
274,320,0.02068815566599369
275,278,0.06543216109275818
276,424,0.059854086488485336
277,513,0.014207057654857635
278,249,0.04368824139237404
279,530,0.0076262205839157104
281,305,0.017928529530763626
282,520,0.036718592047691345
283,566,0.053388603031635284
284,239,0.13755255937576294
285,229,0.007305502891540527
288,265,0.00014994280354585499
289,254,0.15026721358299255
290,546,0.21327315270900726
291,196,0.01729588583111763
292,136,0.014522869139909744
293,382,0.018116818740963936
293,222,0.038895007222890854
294,287,0.013799690641462803
295,123,0.01123011764138937
296,33,0.015918949618935585
298,155,0.0017772265709936619
299,232,0.2079000324010849
300,323,0.028506990522146225
301,603,0.0013856734149158
302,90,0.0032778470776975155
303,79,0.007771655917167664
305,81,0.014027579687535763
306,301,0.0036192794796079397
307,314,0.011376012116670609
307,178,0.014026421122252941
308,543,0.01236200425773859
309,282,0.04584871977567673
310,341,0.11597991734743118
311,496,0.2768639624118805
312,330,0.04880690947175026
313,370,0.007662026211619377
315,512,0.006047998555004597
316,441,0.00880665984004736
317,371,0.012783689424395561
317,325,0.016198592260479927
318,111,0.033191580325365067
319,118,0.024524657055735588
320,454,0.012444092892110348
321,144,0.010826351121068
322,426,0.011024486273527145
323,518,0.009316333569586277
324,346,0.17921510338783264
325,177,0.008639034815132618
326,498,0.06828763335943222
327,583,0.024437308311462402
328,361,0.043100036680698395
329,597,0.011814138852059841
330,353,0.018346624448895454
331,405,0.011192237958312035
332,72,0.05355403944849968
333,404,0.07281520217657089
334,415,0.05030633881688118
335,80,0.005575510207563639
336,387,0.05683368444442749
337,484,0.0162142813205719
337,597,0.019904840737581253
338,346,0.11511080712080002
338,340,0.3123414218425751
339,209,0.029321664944291115
340,347,0.14756441116333008
341,403,0.014126885682344437
342,133,0.04880636930465698
343,586,0.15786860883235931
344,160,0.016477037221193314
345,358,0.021050555631518364
347,359,0.231790229678154
348,502,0.03436915576457977
349,472,0.01096886582672596
350,517,0.006462146993726492
351,543,0.01586468704044819
352,353,0.0010951671283692122
