	rank	measure	value
747	5	cosine_similarity	0.6102411102768541
748	5	r_squared	0.3788626850254707
749	5	cosine_similarity	0.6236874115616734
750	5	r_squared	0.3776758481569245
751	5	cosine_similarity	0.6106726922983369
752	5	r_squared	0.3754505535749442
753	5	cosine_similarity	0.6279676657415814
754	5	r_squared	0.4489163057837988
755	5	cosine_similarity	0.6677494680017263
756	5	r_squared	0.3328680062710656
757	5	cosine_similarity	0.5738078665886808
758	5	r_squared	0.26205979760509923
759	5	cosine_similarity	0.5446252783475273
760	5	r_squared	0.3885259619376267
761	5	cosine_similarity	0.6230779345982419
762	5	r_squared	0.23027702470822511
763	5	cosine_similarity	0.5369505601053916
764	5	r_squared	0.3883616095261587
765	5	cosine_similarity	0.629574364806112
766	5	r_squared	0.32371376045315164
767	5	cosine_similarity	0.591076885506773
768	5	r_squared	0.23427912736644618
769	5	cosine_similarity	0.5451598512078731
770	5	r_squared	0.24077526820248263
771	5	cosine_similarity	0.5060592158031041
772	5	r_squared	0.416326428235943
773	5	cosine_similarity	0.6422756437881687
774	5	r_squared	0.3794652584743363
775	5	cosine_similarity	0.6113605475345147
776	5	r_squared	0.3979773589637935
777	5	cosine_similarity	0.6368851793950571
778	5	r_squared	0.39169467642825695
779	5	cosine_similarity	0.6331766131423837
780	5	r_squared	0.21072746316678173
781	5	cosine_similarity	0.4914249716884272
782	5	r_squared	0.35096972472878163
783	5	cosine_similarity	0.5953905291568287
784	5	r_squared	0.40464980501046255
785	5	cosine_similarity	0.6433503864215763
786	5	r_squared	0.3913447741726045
787	5	cosine_similarity	0.6127911391810102
788	5	r_squared	0.18308416997018384
789	5	cosine_similarity	0.4791103560984759
790	5	r_squared	0.40345857467581486
791	5	cosine_similarity	0.6382043616863996
792	5	r_squared	0.18647184956790286
793	5	cosine_similarity	0.49893069818647134
794	5	r_squared	0.3474914988254074
795	5	cosine_similarity	0.6040659838730584
796	5	r_squared	0.2073888579790406
797	5	cosine_similarity	0.5248750111571715
798	5	r_squared	0.19813831522357123
799	5	cosine_similarity	0.49143717176729507
800	6	r_squared	0.40122365985319686
801	6	cosine_similarity	0.6518989778583547
802	6	r_squared	0.4353577985068308
803	6	cosine_similarity	0.6526287538289803
804	6	r_squared	0.2194428419483337
805	6	cosine_similarity	0.512791567812767
806	6	r_squared	0.3973859278395351
807	6	cosine_similarity	0.6414763057725471
808	6	r_squared	0.163842807653692
809	6	cosine_similarity	0.5042926726331429
810	6	r_squared	0.218278117875376
811	6	cosine_similarity	0.4860513864230347
812	6	r_squared	0.36560192442250833
813	6	cosine_similarity	0.6310814845814778
814	6	r_squared	0.26615883105971583
815	6	cosine_similarity	0.5459110536558656
816	6	r_squared	0.0541032830799094
817	6	cosine_similarity	0.43208659988148734
818	6	r_squared	0.2327683017693752
819	6	cosine_similarity	0.5049181194517479
820	6	r_squared	0.26252336723981573
821	6	cosine_similarity	0.5431454298133953
822	6	r_squared	0.23886924833085846
823	6	cosine_similarity	0.5283433116020253
824	6	r_squared	0.39345806187329124
825	6	cosine_similarity	0.6378259830340667
826	6	r_squared	0.07833230445527735
827	6	cosine_similarity	0.4976141741032794
828	6	r_squared	0.35527180715481166
829	6	cosine_similarity	0.5920334614591765
830	6	r_squared	0.20448685099388783
831	6	cosine_similarity	0.4916496859152897
832	6	r_squared	0.36093507695506244
833	6	cosine_similarity	0.6230421866501712
834	6	r_squared	0.16349004277453633
835	6	cosine_similarity	0.46345772655862827
836	6	r_squared	0.3553773642374931
837	6	cosine_similarity	0.5990443785509731
838	6	r_squared	0.36150280198411694
839	6	cosine_similarity	0.6069068005104984
840	6	r_squared	0.15541448236734584
841	6	cosine_similarity	0.4859164618492167
842	6	r_squared	0.20195161388030364
843	6	cosine_similarity	0.5209504565464296
844	6	r_squared	0.3648258130803401
845	6	cosine_similarity	0.6192224925550552
846	6	r_squared	0.18561423750474543
847	6	cosine_similarity	0.5300984842844707
848	6	r_squared	0.13560983695130716
849	6	cosine_similarity	0.5048150523469179
850	6	r_squared	0.31412038988156965
851	6	cosine_similarity	0.5641354380412521
852	6	r_squared	0.4449335891665882
853	6	cosine_similarity	0.6649107135082761
854	6	r_squared	0.4419225023470646
855	6	cosine_similarity	0.6603420064057741
856	6	r_squared	0.4520314856264576
857	6	cosine_similarity	0.669272983288484
858	6	r_squared	0.4075923750014456
859	6	cosine_similarity	0.624109142993984
860	6	r_squared	0.41758150359774376
861	6	cosine_similarity	0.6452511802892698
862	6	r_squared	0.35202178828768893
863	6	cosine_similarity	0.627445992480904
864	6	r_squared	0.4105430783797974
865	6	cosine_similarity	0.636122619350568
866	6	r_squared	0.24172293841734108
867	6	cosine_similarity	0.5389119255648447
868	6	r_squared	0.19169287733574641
869	6	cosine_similarity	0.5149794833871808
870	6	r_squared	0.11160921537818903
871	6	cosine_similarity	0.5059173211151485
872	6	r_squared	0.43446169277170266
873	6	cosine_similarity	0.6581632416798584
874	6	r_squared	0.4231156218643118
875	6	cosine_similarity	0.6571425988220896
876	6	r_squared	0.23665790727511438
877	6	cosine_similarity	0.5621136089469739
878	6	r_squared	0.3958243994104645
879	6	cosine_similarity	0.6259655213611982
880	6	r_squared	0.40917848686777725
881	6	cosine_similarity	0.643709343273665
882	6	r_squared	0.38295193380366555
883	6	cosine_similarity	0.6429221103977185
884	6	r_squared	0.19589394655141434
885	6	cosine_similarity	0.5025231411641757
886	6	r_squared	0.38075827292813785
887	6	cosine_similarity	0.6231416130412275
888	6	r_squared	0.34059808856575213
889	6	cosine_similarity	0.5881044766939334
890	6	r_squared	0.32835042084386185
891	6	cosine_similarity	0.6050517392936586
892	6	r_squared	0.4152512225512413
893	6	cosine_similarity	0.6534364515340414
894	6	r_squared	0.42574984510110586
895	6	cosine_similarity	0.6456545079444528
896	6	r_squared	0.26023038644953456
897	6	cosine_similarity	0.5442335555658704
898	6	r_squared	0.36229446090041606
899	6	cosine_similarity	0.6194218801151238
900	6	r_squared	0.2675232497782395
901	6	cosine_similarity	0.544222646779472
902	6	r_squared	0.24038263991341205
903	6	cosine_similarity	0.5175218716206278
904	6	r_squared	0.38469526271438703
905	6	cosine_similarity	0.6241571169264142
906	6	r_squared	0.24324146311966657
907	6	cosine_similarity	0.5255058233569792
908	6	r_squared	0.22785444842667138
909	6	cosine_similarity	0.501981276840923
910	6	r_squared	0.4189151263538806
911	6	cosine_similarity	0.649769953959369
912	6	r_squared	0.3925838795625679
913	6	cosine_similarity	0.6076757364946845
914	6	r_squared	0.22656223596675507
915	6	cosine_similarity	0.5310927270286572
916	6	r_squared	0.2027297708012809
917	6	cosine_similarity	0.4893153490485623
918	6	r_squared	0.4227220299187535
919	6	cosine_similarity	0.650507769932375
920	6	r_squared	0.36274998914034995
921	6	cosine_similarity	0.5921639394705372
922	6	r_squared	0.2817908013994997
923	6	cosine_similarity	0.5389529823724697
924	6	r_squared	0.4332751078306003
925	6	cosine_similarity	0.6677318784661899
926	6	r_squared	0.3492490534099576
927	6	cosine_similarity	0.5867883482480258
928	6	r_squared	0.42263966906100303
