Segment_ID,component_1,component_2,component_3,component_4,component_5
AA_63.0_13-Jan-2000_23:40,0.09326371556023369,0.02433423104039557,0.23308374420984096,0.0,0.6493183091895298
AA_63.0_14-Jan-2000_00:01,0.1556259033616189,0.013614061715849486,0.3677225489615343,0.0,0.4630374859609972
AA_63.0_14-Jan-2000_00:23,0.12852268220991292,0.011291201771719286,0.2599093539628961,0.0,0.6002767620554716
AA_63.0_14-Jan-2000_00:44,0.0,0.056819442621340636,0.163675812555429,0.0,0.7795047448232303
AA_63.0_14-Jan-2000_01:07,0.20355781374231666,0.0,0.08455964835224154,0.0,0.7118825379054419
AA_63.0_14-Jan-2000_01:31,0.2442784338004265,0.0,0.1925948649884276,0.0,0.563126701211146
AA_63.0_14-Jan-2000_01:49,0.21086271037865223,0.0,0.003152085637220971,0.0,0.7859852039841269
AA_63.0_14-Jan-2000_02:07,0.4319920175227494,0.0,0.0,0.0,0.5680079824772506
AA_63.0_14-Jan-2000_02:27,0.14732623888881777,0.0,0.06637704033470128,0.0,0.7862967207764809
AA_63.0_14-Jan-2000_02:44,0.1687905310221637,0.0,0.15663814330031395,0.0,0.6745713256775224
AA_63.0_14-Jan-2000_03:02,0.2151956733764292,0.0,0.0,0.0,0.7848043266235709
AA_63.0_14-Jan-2000_03:19,0.04203664311945928,0.0012781119789231647,0.12116229919519649,0.0,0.8355229457064212
AA_63.0_14-Jan-2000_03:37,0.10135188937378314,0.0,0.13835975764878014,0.0,0.7602883529774367
AA_63.0_14-Jan-2000_03:55,0.07261893092668299,0.010949568765325438,0.24522703633146967,0.0,0.6712044639765219
AA_63.0_14-Jan-2000_04:12,0.03827681041461993,0.014327614800724678,0.08723034968298024,0.0,0.8601652251016753
AA_63.0_14-Jan-2000_04:30,0.06792568847416389,0.0,0.015064599991123109,0.0,0.917009711534713
AA_63.0_14-Jan-2000_04:47,0.1495642281661185,0.0,0.023287131592292086,0.0,0.8271486402415894
AA_63.0_14-Jan-2000_05:05,0.13935520682696337,0.0,0.04755004899179774,0.0,0.813094744181239
AA_63.0_14-Jan-2000_05:23,0.22214160371460165,0.007514500966225082,0.09464234905183276,0.0,0.6757015462673405
AA_63.0_14-Jan-2000_05:41,0.19661066505282565,0.0,0.06563549353296241,0.0,0.737753841414212
AA_63.0_14-Jan-2000_05:59,0.06739814585928766,0.0,0.10028852886920184,0.0,0.8323133252715105
