h3_cell,year,center_lat,center_lon,n_segments,n_tows,n_ships,ships,season,months,mean_segment_length,total_abundance_sum,mean_total_abundance,mean_total_plankton_corrected,mean_water_temperature,mean_salinity,mean_fluorescence,mean_phytoplankton_colour_index,mean_par,mean_hadisst_sst,mean_hadisst_ice
82c947fffffffff,2018,-47.4539,109.9993,19,1,1,UM,2017-18,January,5.0,540,28.42,5.6842,9.42,34.01,0.21,0.0,1438.72,8.59,0.0
82c947fffffffff,2019,-47.4409,110.0013,40,2,2,SH2;UM,2018-19;2019-20,December;January,5.0,2525,63.12,12.625,8.2,34.06,200.74,0.0,422.77,8.89,0.0
82c947fffffffff,2020,-47.4364,110.0015,20,1,1,UM,2019-20,January,5.0,2844,142.2,28.44,9.25,33.78,0.77,0.0,66.81,9.79,0.0
82c947fffffffff,2023,-47.4582,109.9982,20,1,1,UM,2022-23,January,5.0,2884,144.2,28.84,10.54,33.99,0.86,0.0,245.24,9.01,0.0
82c94ffffffffff,2000,-48.671,109.9902,9,1,1,SH,2000-01,December,4.891,949,105.44,21.5589,5.45,33.81,4.21,,,7.0,0.0
82c94ffffffffff,2001,-48.6365,109.9995,7,1,1,SH,2001-02,December,5.518,974,139.14,25.2162,9.77,33.48,2.35,,,7.79,0.0
82c94ffffffffff,2002,-49.9556,108.5519,6,1,1,AA,2001-02,January,5.0,1049,174.83,34.9667,5.38,,7.01,,2.57,6.59,0.0
82c94ffffffffff,2004,-48.6339,109.9721,9,1,1,SH,2004-05,December,5.0,3957,439.67,87.9333,6.86,33.82,2.61,,,7.38,0.0
82c94ffffffffff,2005,-49.6541,108.3499,18,1,1,AA,2005-06,November,5.0,5729,318.28,63.6556,,,,,699.18,5.18,0.0
82c94ffffffffff,2006,-48.6576,109.9293,10,1,1,SH,2006-07,December,5.0,985,98.5,19.7,6.48,33.54,7.98,,,6.76,0.0
82c94ffffffffff,2009,-48.6494,109.9989,17,2,2,AA;SH2,2008-09;2009-10,December;January,5.0,2233,131.35,26.2706,6.83,33.98,220.95,0.0,418.62,7.72,0.0
82c94ffffffffff,2010,-48.6381,109.9978,16,2,2,SH2;UM,2010-11,December,5.0,3219,201.19,40.2375,7.27,34.01,339.94,,27.63,7.08,0.0
82c94ffffffffff,2011,-48.7198,110.2188,2,1,1,SH2,2011-12,December,5.0,115,57.5,11.5,6.3,33.72,96.15,0.0,,7.06,0.0
82c94ffffffffff,2012,-48.6369,110.0016,16,2,1,SH2,2011-12;2012-13,December;March,5.0,1413,88.31,17.6625,7.71,33.93,178.91,0.0,,7.71,0.0
82c94ffffffffff,2013,-48.6457,110.0103,8,1,1,UM,2012-13,January,5.0,1512,189.0,37.8,8.93,33.83,2.67,0.0,0.27,8.64,0.0
82c94ffffffffff,2014,-48.6282,110.0018,16,2,2,SH2;UM,2013-14;2014-15,December;January,5.0,1296,81.0,16.2,7.59,33.84,63.06,0.5,1717.66,7.67,0.0
82c94ffffffffff,2015,-48.4868,109.7277,37,3,2,SH2;UM,2014-15;2015-16,December;January;March,5.0,1748,47.24,9.4486,7.46,33.88,69.76,0.46,814.03,7.67,0.0
82c94ffffffffff,2016,-48.6406,109.9964,17,2,2,SH2;UM,2015-16;2016-17,December;January,5.0,1283,75.47,15.0941,8.03,33.96,134.05,1.0,726.65,8.05,0.0
82c94ffffffffff,2017,-48.6514,110.0071,8,1,1,UM,2016-17,January,5.0,738,92.25,18.45,9.05,33.88,0.77,0.0,0.18,8.54,0.0
82c94ffffffffff,2018,-48.6201,109.9976,9,1,1,UM,2017-18,January,5.0,481,53.44,10.6889,7.08,33.73,0.41,0.0,300.06,7.52,0.0
82c94ffffffffff,2019,-48.6286,110.0017,17,2,2,SH2;UM,2018-19;2019-20,December;January,5.0,1948,114.59,22.9176,6.31,33.78,204.8,0.0,589.63,7.78,0.0
82c94ffffffffff,2020,-48.6444,109.9973,9,1,1,UM,2019-20,January,5.0,518,57.56,11.5111,7.39,33.62,0.29,0.0,1128.09,8.68,0.0
82c94ffffffffff,2023,-48.6247,109.9958,8,1,1,UM,2022-23,January,5.0,1183,147.88,29.575,7.63,33.66,0.79,0.0,0.12,7.91,0.0
82c957fffffffff,2005,-45.523,112.7564,12,1,1,UM,2004-05,February,5.0,823,68.58,13.7167,10.54,34.08,3.55,,1.5,10.9,0.0
82c957fffffffff,2011,-44.7285,110.5084,8,1,1,SH2,2011-12,December,5.0,105,13.12,2.625,11.09,34.66,159.4,0.0,,11.0,0.0
82c95ffffffffff,2004,-46.1138,110.2809,8,1,1,SH,2004-05,December,5.0,1655,206.88,41.375,10.02,34.32,5.5,,,9.82,0.0
82c95ffffffffff,2006,-45.8763,109.9662,19,1,1,SH,2006-07,December,5.0,3665,192.89,38.5789,10.0,34.03,10.7,,,9.7,0.0
82c95ffffffffff,2007,-45.6913,110.0523,21,1,1,SH,2007-08,December,5.06,4069,193.76,38.4917,8.99,34.91,2.64,,,9.62,0.0
82c95ffffffffff,2009,-46.2466,110.0031,8,1,1,SH2,2009-10,December,5.0,392,49.0,9.8,10.31,34.67,144.6,,,9.65,0.0
82c95ffffffffff,2010,-45.879,110.0027,36,2,2,SH2;UM,2010-11,December,5.0,1651,45.86,9.1722,10.74,34.49,74.93,,269.55,9.98,0.0
82c95ffffffffff,2011,-45.2605,110.2887,23,2,2,SH2;UM,2011-12,December,5.097,1062,46.17,8.553,10.62,34.6,113.66,0.0,61.26,10.45,0.0
82c95ffffffffff,2012,-45.7531,110.0091,38,2,1,SH2,2011-12;2012-13,December;March,4.945,967,25.45,5.1008,10.36,34.26,107.86,0.0,,10.46,0.0
82c95ffffffffff,2013,-45.9312,109.9878,20,1,1,UM,2012-13,January,5.0,1944,97.2,19.44,11.36,34.29,1.32,0.0,983.99,10.67,0.0
82c95ffffffffff,2014,-45.8762,110.0055,36,2,2,SH2;UM,2013-14;2014-15,December;January,5.0,4178,116.06,23.2111,9.84,34.19,52.28,0.0,0.17,10.32,0.0
82c95ffffffffff,2015,-45.6828,110.0159,66,3,2,SH2;UM,2014-15;2015-16,December;January;March,5.0,3350,50.76,10.1515,10.25,34.35,119.63,0.0,12.38,10.22,0.0
82c95ffffffffff,2016,-45.9829,110.0091,30,2,2,SH2;UM,2015-16;2016-17,December;January,5.0,4499,149.97,29.9933,10.24,34.25,58.05,0.13,9.59,10.42,0.0
82c95ffffffffff,2017,-46.1959,109.9644,11,1,1,UM,2016-17,January,5.0,66,6.0,1.2,11.68,34.31,0.45,0.0,968.43,10.45,0.0
82c95ffffffffff,2018,-45.9157,109.9771,18,1,1,UM,2017-18,January,5.0,343,19.06,3.8111,10.35,34.19,1.25,0.0,250.85,10.01,0.0
82c95ffffffffff,2019,-45.8568,110.0007,36,2,2,SH2;UM,2018-19;2019-20,December;January,5.0,2758,76.61,15.3222,9.52,34.35,105.14,0.0,58.37,10.15,0.0
82c95ffffffffff,2020,-45.4376,110.002,28,1,1,UM,2019-20,January,5.0,704,25.14,5.0286,10.64,34.13,0.9,0.0,284.31,11.33,0.0
82c95ffffffffff,2023,-45.8345,110.0066,19,1,1,UM,2022-23,January,5.0,160,8.42,1.6842,12.24,34.32,0.68,0.0,746.28,10.35,0.0
82c967fffffffff,2002,-48.162,115.0818,27,1,1,AA,2001-02,January,5.0,3483,129.0,25.8,,,,,,8.82,0.0
82c967fffffffff,2003,-50.1733,115.8698,30,2,1,AA,2002-03,March,5.082,1915,63.83,12.7468,7.61,33.87,4.07,,83.26,7.01,0.0
82c967fffffffff,2005,-48.1945,115.3189,30,1,1,AA,2005-06,November,5.0,1451,48.37,9.6733,,,,,1217.04,7.3,0.0
82c96ffffffffff,1999,-51.1441,109.9925,16,1,1,SH,1999-00,December,5.0,2076,129.75,25.95,3.95,33.86,14.5,,,4.64,0.0
82c96ffffffffff,2000,-50.3142,109.9891,32,1,1,SH,2000-01,December,4.897,2026,63.31,12.9402,4.44,33.77,2.58,,,5.29,0.0
82c96ffffffffff,2001,-50.3951,109.9947,33,2,1,SH,2001-02,December,5.375,8282,250.97,46.8282,6.74,33.43,2.3,,,5.58,0.0
82c96ffffffffff,2002,-49.9781,110.1891,58,2,2,AA;SH,2001-02;2002-03,December;January,5.0,5822,100.38,20.0759,5.63,34.17,4.66,,312.22,6.05,0.0
82c96ffffffffff,2003,-50.9857,111.6334,37,1,1,AA,2002-03,March,5.0,3964,107.14,21.427,5.83,33.81,4.22,,123.46,5.9,0.0
82c96ffffffffff,2004,-50.3824,110.0538,34,2,1,SH,2004-05,December,5.011,15990,470.29,93.7192,5.54,33.79,3.05,,,5.55,0.0
82c96ffffffffff,2005,-50.2576,110.9874,80,5,3,AA;SH;UM,2004-05;2005-06,December;February;November,5.008,19700,246.25,49.1783,5.96,33.67,2.4,,611.48,5.64,0.0
82c96ffffffffff,2006,-50.3993,109.9028,33,2,1,SH,2006-07,December,5.045,11863,359.48,71.7823,5.66,33.49,5.47,,,5.01,0.0
82c96ffffffffff,2009,-50.3957,109.9938,68,3,2,AA;SH2,2008-09;2009-10,December;January,4.965,16750,246.32,49.4277,5.21,33.92,155.04,0.0,27.3,5.87,0.0
82c96ffffffffff,2010,-50.3902,110.0284,68,4,2,SH2;UM,2010-11,December,4.978,12148,178.65,35.7493,5.65,33.92,76.96,,124.24,5.0,0.0
82c96ffffffffff,2011,-50.5069,110.0749,57,3,2,SH2;UM,2011-12,December,5.001,11798,206.98,41.3946,4.79,33.76,58.59,0.0,472.64,4.96,0.0
82c96ffffffffff,2012,-50.3741,110.0126,68,4,1,SH2,2011-12;2012-13,December;March,4.968,9321,137.07,27.5103,5.63,33.8,125.05,0.44,,5.96,0.0
82c96ffffffffff,2013,-50.6078,110.0117,43,3,2,SH2;UM,2012-13;2013-14,December;January,5.036,5059,117.65,23.517,7.16,33.76,20.15,0.26,119.97,6.17,0.0
82c96ffffffffff,2014,-50.3674,109.9985,67,4,2,SH2;UM,2013-14;2014-15,December;January,5.0,6139,91.63,18.3111,6.23,33.81,58.91,0.67,428.86,5.9,0.0
82c96ffffffffff,2015,-50.4175,110.0002,98,6,2,SH2;UM,2014-15;2015-16,December;January;March,4.988,9060,92.45,18.471,5.19,33.81,73.14,0.13,439.35,5.68,0.0
82c96ffffffffff,2016,-50.389,110.0003,67,5,2,SH2;UM,2015-16;2016-17,December;January,4.948,7424,110.81,22.4623,8.18,33.82,74.88,1.48,340.72,6.04,0.0
82c96ffffffffff,2017,-50.5899,110.0023,53,5,2,SH2;UM,2016-17;2017-18,December;January,5.001,5387,101.64,20.3328,6.34,33.76,34.33,0.0,111.39,5.9,0.0
82c96ffffffffff,2018,-50.6146,110.0026,51,3,2,SH2;UM,2017-18;2018-19,December;January,4.953,3818,74.86,15.0616,4.82,33.76,45.82,0.82,51.67,5.37,0.0
82c96ffffffffff,2019,-50.3789,109.9988,67,4,2,SH2;UM,2018-19;2019-20,December;January,4.971,7224,107.82,21.6914,4.59,33.75,78.34,0.16,512.06,5.87,0.0
82c96ffffffffff,2020,-50.3713,109.9988,32,2,1,UM,2019-20,January,5.068,1637,51.16,10.0111,6.16,33.59,0.6,0.0,570.62,6.83,0.0
82c96ffffffffff,2023,-50.3751,110.0002,34,2,1,UM,2022-23,January,4.955,2473,72.74,14.5963,6.43,33.64,0.68,0.06,412.0,6.24,0.0
82c977fffffffff,2002,-47.7448,116.9095,4,1,1,AA,2001-02,January,5.0,96,24.0,4.8,,,,,,9.43,0.0
82cc27fffffffff,2003,-46.9217,85.4701,23,1,1,AA,2003-04,December,5.0,1448,62.96,12.5913,8.45,34.24,38.99,,265.64,8.41,0.0
82cd07fffffffff,2004,-47.5712,89.928,30,1,1,AA,2004-05,December,5.0,9896,329.87,65.9733,7.54,33.99,0.04,,257.55,8.21,0.0
82cd0ffffffffff,2004,-48.9523,88.6918,9,1,1,AA,2004-05,December,5.0,2075,230.56,46.1111,6.6,33.75,0.09,,0.0,7.24,0.0
82cd0ffffffffff,2006,-48.5658,87.4214,36,2,1,AA,2005-06,January,5.051,3126,86.83,17.1446,6.06,33.92,0.34,,269.54,7.82,0.0
82cd17fffffffff,2004,-45.8967,91.2656,10,1,1,AA,2004-05,December,4.881,1422,142.2,28.8898,9.19,34.37,0.05,,381.24,9.16,0.0
82cd17fffffffff,2006,-44.6333,91.8778,27,1,1,AA,2005-06,January,5.0,2807,103.96,20.7926,9.27,34.4,0.55,,84.19,10.71,0.0
82cd1ffffffffff,2003,-45.2935,88.4193,31,2,1,AA,2003-04,December,4.994,1784,57.55,11.5125,9.18,34.26,75.37,,76.82,9.74,0.0
82cd1ffffffffff,2004,-46.3612,90.7991,4,1,1,AA,2004-05,December,5.0,507,126.75,25.35,9.63,34.39,0.07,,1110.36,8.74,0.0
82cd1ffffffffff,2006,-46.4311,89.7568,29,1,1,AA,2005-06,January,5.0,1558,53.72,10.7448,7.76,34.1,0.24,,810.64,9.47,0.0
82cd27fffffffff,1999,-50.3763,93.3896,39,1,1,AA,1998-99,March,5.05,1649,42.28,8.3727,7.08,33.91,22.65,,110.28,6.21,0.0
82cd27fffffffff,2003,-51.2547,95.1481,28,1,1,AA,2003-04,November,5.0,10614,379.07,75.8143,,,59.33,,10.7,4.11,0.0
82cd27fffffffff,2005,-51.3728,94.8584,32,2,2,AA;UM,2004-05;2005-06,January;November,5.0,3969,124.03,24.8062,5.13,,3.04,,359.02,5.28,0.0
82cd27fffffffff,2008,-51.4539,95.135,25,1,1,UM,2007-08,January,5.0,1277,51.08,10.216,5.54,33.81,2.88,,1037.55,5.44,0.0
82cd2ffffffffff,2004,-50.5514,87.6891,32,2,1,AA,2004-05,December,4.973,7513,234.78,47.1146,4.54,33.67,0.04,,675.64,5.59,0.0
