kingdom,subkingdom,infrakingdom,phylum,subphylum,class,subclass,order,suborder,family,genus,species,ID,LifeStage,Qualifier
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,Euphausiidae indet,,indet
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,Euphausiidae metanauplius indet,metanauplius,indet
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,,,Euphausiidae nauplius indet,nauplius,indet
Animalia,,,Arthropoda,Crustacea,Copepoda,,Harpacticoida,,Tachidiidae,Euterpina,,Euterpina sp.,,sp
Animalia,,,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Onychopoda,,Podonidae,Evadne,,Evadne sp.,,sp
Animalia,,,Arthropoda,Crustacea,Copepoda,,Cyclopoida,Ergasilida,Corycaeidae,Farranula,,Farranula sp.,,sp
Chromista,Harosa,Rhizaria,Foraminifera,,,,,,,,,Foraminifera indet,,indet
Animalia,,,Chordata,Tunicata,Appendicularia,,Copelata,,Fritillariidae,Fritillaria,,Fritillaria sp.,,sp
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,,,Gammaridea indet,,indet
Animalia,,,Mollusca,,Gastropoda,,,,,,,Gastropoda indet,,indet
Chromista,Harosa,Rhizaria,Foraminifera,,Globothalamea,Rotaliana,Rotaliida,Globigerinina,Globigerinidae,Globigerina,Globigerina bulloides,Globigerina bulloides,,
Chromista,Harosa,Rhizaria,Foraminifera,,Globothalamea,Rotaliana,Rotaliida,Globigerinina,Globigerinitidae,Globigerinita,Globigerinita uvula,Globigerinita uvula,,
Chromista,Harosa,Rhizaria,Foraminifera,,Globothalamea,Rotaliana,Rotaliida,Globigerinina,Globorotaliidae,Globorotalia,Globorotalia inflata,Globorotalia inflata,,
Chromista,Harosa,Rhizaria,Foraminifera,,Globothalamea,Rotaliana,Rotaliida,Globigerinina,Globorotaliidae,Globorotalia,,Globorotalia sp.,,sp
Animalia,,,Arthropoda,Crustacea,Copepoda,,Calanoida,,Augaptilidae,Haloptilus,Haloptilus oxycephalus,Haloptilus oxycephalus,,
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Euphausiacea,,Euphausiidae,Hansarsia,Hansarsia megalops,Hansarsia megalops,,
Animalia,,,Arthropoda,Crustacea,Copepoda,,Harpacticoida,,,,,Harpacticoida indet,,indet
Animalia,,,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Hyperiidea,Platyscelidae,Hemityphis,,Hemityphis sp.,,sp
